site,camera,date,well,latitude,longitude,fc,dtgw,fp,pred
Hunter,4.0,2014-11-20,Cotblm,31.48088171457681,-110.1185904409986,2.0,15.112499999999999,1.0,0
Hunter,4.0,2014-11-21,Cotblm,31.48088171457681,-110.1185904409986,2.0,15.067083333333334,1.0,0
Hunter,4.0,2014-11-22,Cotblm,31.48088171457681,-110.1185904409986,2.0,15.087083333333332,1.0,0
Hunter,4.0,2014-11-23,Cotblm,31.48088171457681,-110.1185904409986,2.0,15.075416666666667,1.0,0
Hunter,4.0,2014-11-24,Cotblm,31.48088171457681,-110.1185904409986,2.0,15.112708333333332,1.0,0
Hunter,4.0,2014-11-25,Cotblm,31.48088171457681,-110.1185904409986,2.0,15.142916666666666,1.0,0
Hunter,4.0,2014-11-26,Cotblm,31.48088171457681,-110.1185904409986,2.0,15.11625,1.0,0
Hunter,4.0,2014-11-27,Cotblm,31.48088171457681,-110.1185904409986,2.0,15.099375,1.0,0
Hunter,4.0,2014-11-28,Cotblm,31.48088171457681,-110.1185904409986,2.0,15.074583333333335,1.0,0
Hunter,4.0,2014-11-29,Cotblm,31.48088171457681,-110.1185904409986,2.0,15.020000000000001,1.0,0
Hunter,4.0,2014-11-30,Cotblm,31.48088171457681,-110.1185904409986,2.0,15.0175,1.0,0
Hunter,4.0,2014-12-01,Cotblm,31.48088171457681,-110.1185904409986,2.0,15.058333333333332,1.0,0
Hunter,4.0,2014-12-02,Cotblm,31.48088171457681,-110.1185904409986,2.0,15.046875,1.0,0
Hunter,4.0,2014-12-03,Cotblm,31.48088171457681,-110.1185904409986,2.0,15.040416666666665,1.0,0
Hunter,4.0,2014-12-04,Cotblm,31.48088171457681,-110.1185904409986,2.0,15.043541666666668,1.0,0
Hunter,4.0,2014-12-05,Cotblm,31.48088171457681,-110.1185904409986,2.0,15.042708333333332,1.0,0
Hunter,4.0,2014-12-06,Cotblm,31.48088171457681,-110.1185904409986,2.0,15.046666666666667,1.0,0
Hunter,4.0,2014-12-07,Cotblm,31.48088171457681,-110.1185904409986,2.0,15.047291666666666,1.0,0
Hunter,4.0,2014-12-08,Cotblm,31.48088171457681,-110.1185904409986,2.0,15.051875,1.0,0
Hunter,4.0,2014-12-09,Cotblm,31.48088171457681,-110.1185904409986,2.0,15.031458333333333,1.0,0
Hunter,4.0,2014-12-10,Cotblm,31.48088171457681,-110.1185904409986,2.0,15.023958333333333,1.0,0
Hunter,4.0,2014-12-11,Cotblm,31.48088171457681,-110.1185904409986,2.0,15.013958333333333,1.0,0
Hunter,4.0,2014-12-12,Cotblm,31.48088171457681,-110.1185904409986,2.0,15.016666666666666,1.0,0
Hunter,4.0,2014-12-13,Cotblm,31.48088171457681,-110.1185904409986,2.0,15.005416666666667,1.0,0
Hunter,4.0,2014-12-14,Cotblm,31.48088171457681,-110.1185904409986,2.0,14.998541666666666,1.0,0
Hunter,4.0,2014-12-15,Cotblm,31.48088171457681,-110.1185904409986,2.0,14.996666666666668,1.0,0
Hunter,4.0,2014-12-16,Cotblm,31.48088171457681,-110.1185904409986,2.0,14.987916666666665,1.0,0
Hunter,4.0,2014-12-17,Cotblm,31.48088171457681,-110.1185904409986,2.0,15.024583333333332,1.0,0
Hunter,4.0,2014-12-18,Cotblm,31.48088171457681,-110.1185904409986,2.0,15.025416666666667,1.0,0
Hunter,4.0,2014-12-19,Cotblm,31.48088171457681,-110.1185904409986,2.0,15.018958333333332,1.0,0
Hunter,4.0,2014-12-20,Cotblm,31.48088171457681,-110.1185904409986,2.0,15.015208333333334,1.0,0
Hunter,4.0,2014-12-21,Cotblm,31.48088171457681,-110.1185904409986,2.0,14.985833333333334,1.0,0
Hunter,4.0,2014-12-22,Cotblm,31.48088171457681,-110.1185904409986,2.0,14.982291666666667,1.0,0
Hunter,4.0,2014-12-23,Cotblm,31.48088171457681,-110.1185904409986,2.0,15.000625,1.0,0
Hunter,4.0,2014-12-24,Cotblm,31.48088171457681,-110.1185904409986,2.0,15.022916666666667,1.0,0
Hunter,4.0,2014-12-25,Cotblm,31.48088171457681,-110.1185904409986,2.0,14.928125,1.0,0
Hunter,4.0,2014-12-26,Cotblm,31.48088171457681,-110.1185904409986,2.0,14.949583333333335,1.0,0
Hunter,4.0,2014-12-27,Cotblm,31.48088171457681,-110.1185904409986,2.0,15.021041666666667,1.0,0
Hunter,4.0,2014-12-28,Cotblm,31.48088171457681,-110.1185904409986,2.0,15.024375,1.0,0
Hunter,4.0,2014-12-29,Cotblm,31.48088171457681,-110.1185904409986,2.0,14.974791666666667,1.0,0
Hunter,4.0,2014-12-30,Cotblm,31.48088171457681,-110.1185904409986,2.0,14.962916666666667,1.0,0
Hunter,4.0,2014-12-31,Cotblm,31.48088171457681,-110.1185904409986,2.0,14.950833333333334,1.0,0
Hunter,4.0,2015-01-01,Cotblm,31.48088171457681,-110.1185904409986,2.0,14.975416666666668,1.0,0
Hunter,4.0,2015-01-02,Cotblm,31.48088171457681,-110.1185904409986,2.0,14.942916666666667,1.0,0
Hunter,4.0,2015-01-03,Cotblm,31.48088171457681,-110.1185904409986,2.0,14.977083333333333,1.0,0
Hunter,4.0,2015-01-04,Cotblm,31.48088171457681,-110.1185904409986,2.0,15.01,1.0,0
Hunter,4.0,2015-01-05,Cotblm,31.48088171457681,-110.1185904409986,2.0,15.035416666666668,1.0,0
Hunter,4.0,2015-01-06,Cotblm,31.48088171457681,-110.1185904409986,2.0,14.980416666666668,1.0,0
Hunter,4.0,2015-01-07,Cotblm,31.48088171457681,-110.1185904409986,2.0,14.985208333333333,1.0,0
Hunter,4.0,2015-01-08,Cotblm,31.48088171457681,-110.1185904409986,2.0,14.960416666666667,1.0,0
Hunter,4.0,2015-01-09,Cotblm,31.48088171457681,-110.1185904409986,2.0,14.895000000000001,1.0,0
Hunter,4.0,2015-01-10,Cotblm,31.48088171457681,-110.1185904409986,2.0,14.921458333333334,1.0,0
Hunter,4.0,2015-01-11,Cotblm,31.48088171457681,-110.1185904409986,2.0,14.910208333333335,1.0,0
Hunter,4.0,2015-01-12,Cotblm,31.48088171457681,-110.1185904409986,2.0,14.939166666666667,1.0,0
Hunter,4.0,2015-01-13,Cotblm,31.48088171457681,-110.1185904409986,2.0,14.912916666666668,1.0,0
Hunter,4.0,2015-01-14,Cotblm,31.48088171457681,-110.1185904409986,2.0,14.929375,1.0,0
Hunter,4.0,2015-01-15,Cotblm,31.48088171457681,-110.1185904409986,2.0,14.96875,1.0,0
Hunter,4.0,2015-01-16,Cotblm,31.48088171457681,-110.1185904409986,2.0,14.941875000000001,1.0,0
Hunter,4.0,2015-01-17,Cotblm,31.48088171457681,-110.1185904409986,2.0,14.910208333333335,1.0,0
Hunter,4.0,2015-01-18,Cotblm,31.48088171457681,-110.1185904409986,2.0,14.908958333333333,1.0,0
Hunter,4.0,2015-01-19,Cotblm,31.48088171457681,-110.1185904409986,2.0,14.901874999999999,1.0,0
Hunter,4.0,2015-01-20,Cotblm,31.48088171457681,-110.1185904409986,2.0,14.822916666666666,1.0,0
Hunter,4.0,2015-01-21,Cotblm,31.48088171457681,-110.1185904409986,2.0,14.793125000000002,1.0,0
Hunter,4.0,2015-01-22,Cotblm,31.48088171457681,-110.1185904409986,2.0,14.858125,1.0,0
Hunter,4.0,2015-01-23,Cotblm,31.48088171457681,-110.1185904409986,2.0,14.92375,1.0,0
Hunter,4.0,2015-01-24,Cotblm,31.48088171457681,-110.1185904409986,2.0,14.86875,1.0,0
Hunter,4.0,2015-01-25,Cotblm,31.48088171457681,-110.1185904409986,2.0,14.865,1.0,0
Hunter,4.0,2015-01-26,Cotblm,31.48088171457681,-110.1185904409986,2.0,14.852083333333333,1.0,0
Hunter,4.0,2015-01-27,Cotblm,31.48088171457681,-110.1185904409986,2.0,14.867708333333333,1.0,0
Hunter,4.0,2015-01-28,Cotblm,31.48088171457681,-110.1185904409986,2.0,14.837708333333333,1.0,0
Hunter,4.0,2015-01-29,Cotblm,31.48088171457681,-110.1185904409986,2.0,14.808958333333335,1.0,0
Hunter,4.0,2015-01-30,Cotblm,31.48088171457681,-110.1185904409986,2.0,14.794166666666667,1.0,0
Hunter,4.0,2015-01-31,Cotblm,31.48088171457681,-110.1185904409986,2.0,14.669375,1.0,0
Hunter,4.0,2015-02-01,Cotblm,31.48088171457681,-110.1185904409986,2.0,14.579791666666667,1.0,0
Hunter,4.0,2015-02-02,Cotblm,31.48088171457681,-110.1185904409986,2.0,14.513958333333333,1.0,0
Hunter,4.0,2015-02-03,Cotblm,31.48088171457681,-110.1185904409986,2.0,14.565416666666666,1.0,0
Hunter,4.0,2015-02-04,Cotblm,31.48088171457681,-110.1185904409986,2.0,14.629375000000001,1.0,0
Hunter,4.0,2015-02-05,Cotblm,31.48088171457681,-110.1185904409986,2.0,14.656666666666666,1.0,0
Hunter,4.0,2015-02-06,Cotblm,31.48088171457681,-110.1185904409986,2.0,14.687916666666666,1.0,0
Hunter,4.0,2015-02-07,Cotblm,31.48088171457681,-110.1185904409986,2.0,14.682708333333332,1.0,0
Hunter,4.0,2015-02-08,Cotblm,31.48088171457681,-110.1185904409986,2.0,14.693125,1.0,0
Hunter,4.0,2015-02-09,Cotblm,31.48088171457681,-110.1185904409986,2.0,14.710625,1.0,0
Hunter,4.0,2015-02-10,Cotblm,31.48088171457681,-110.1185904409986,2.0,14.682083333333333,1.0,0
Hunter,4.0,2015-02-11,Cotblm,31.48088171457681,-110.1185904409986,2.0,14.674999999999999,1.0,0
Hunter,4.0,2015-02-12,Cotblm,31.48088171457681,-110.1185904409986,2.0,14.699791666666668,1.0,0
Hunter,4.0,2015-02-13,Cotblm,31.48088171457681,-110.1185904409986,2.0,14.696041666666666,1.0,0
Hunter,4.0,2015-02-14,Cotblm,31.48088171457681,-110.1185904409986,2.0,14.681666666666667,1.0,0
Hunter,4.0,2015-02-15,Cotblm,31.48088171457681,-110.1185904409986,2.0,14.724583333333333,1.0,0
Hunter,4.0,2015-02-16,Cotblm,31.48088171457681,-110.1185904409986,2.0,14.668750000000001,1.0,0
Hunter,4.0,2015-02-17,Cotblm,31.48088171457681,-110.1185904409986,2.0,14.70375,1.0,0
Hunter,4.0,2015-02-18,Cotblm,31.48088171457681,-110.1185904409986,2.0,14.736458333333333,1.0,0
Hunter,4.0,2015-02-19,Cotblm,31.48088171457681,-110.1185904409986,2.0,14.723333333333334,1.0,0
Hunter,4.0,2015-02-20,Cotblm,31.48088171457681,-110.1185904409986,2.0,14.692916666666667,1.0,0
Hunter,4.0,2015-02-21,Cotblm,31.48088171457681,-110.1185904409986,2.0,14.706874999999998,1.0,0
Hunter,4.0,2015-02-22,Cotblm,31.48088171457681,-110.1185904409986,2.0,14.676458333333334,1.0,0
Hunter,4.0,2015-02-23,Cotblm,31.48088171457681,-110.1185904409986,2.0,14.690624999999999,1.0,0
Hunter,4.0,2015-02-24,Cotblm,31.48088171457681,-110.1185904409986,2.0,14.719583333333333,1.0,0
Hunter,4.0,2015-02-25,Cotblm,31.48088171457681,-110.1185904409986,2.0,14.727291666666666,1.0,0
Hunter,4.0,2015-02-26,Cotblm,31.48088171457681,-110.1185904409986,2.0,14.67375,1.0,0
Hunter,4.0,2015-02-27,Cotblm,31.48088171457681,-110.1185904409986,2.0,14.637291666666668,1.0,0
Hunter,4.0,2015-02-28,Cotblm,31.48088171457681,-110.1185904409986,2.0,14.675624999999998,1.0,0
Hunter,4.0,2015-03-01,Cotblm,31.48088171457681,-110.1185904409986,2.0,14.697083333333333,1.0,0
Hunter,4.0,2015-03-02,Cotblm,31.48088171457681,-110.1185904409986,2.0,14.71125,1.0,0
Hunter,4.0,2015-03-03,Cotblm,31.48088171457681,-110.1185904409986,2.0,14.680416666666666,1.0,0
Hunter,4.0,2015-03-04,Cotblm,31.48088171457681,-110.1185904409986,2.0,14.6775,1.0,0
Hunter,4.0,2015-03-05,Cotblm,31.48088171457681,-110.1185904409986,2.0,14.732916666666668,1.0,0
Hunter,4.0,2015-03-06,Cotblm,31.48088171457681,-110.1185904409986,2.0,14.759375,1.0,0
Hunter,4.0,2015-03-07,Cotblm,31.48088171457681,-110.1185904409986,2.0,14.692916666666667,1.0,0
Hunter,4.0,2015-03-08,Cotblm,31.48088171457681,-110.1185904409986,2.0,14.661041666666668,1.0,0
Hunter,4.0,2015-03-09,Cotblm,31.48088171457681,-110.1185904409986,2.0,14.65125,1.0,0
Hunter,4.0,2015-03-10,Cotblm,31.48088171457681,-110.1185904409986,2.0,14.648958333333333,1.0,0
Hunter,4.0,2015-03-11,Cotblm,31.48088171457681,-110.1185904409986,2.0,14.703958333333333,1.0,0
Hunter,4.0,2015-03-12,Cotblm,31.48088171457681,-110.1185904409986,2.0,14.715833333333334,1.0,0
Hunter,4.0,2015-03-13,Cotblm,31.48088171457681,-110.1185904409986,2.0,14.702916666666667,1.0,0
Hunter,4.0,2015-03-14,Cotblm,31.48088171457681,-110.1185904409986,2.0,14.725833333333334,1.0,0
Hunter,4.0,2015-03-15,Cotblm,31.48088171457681,-110.1185904409986,2.0,14.731666666666667,1.0,0
Hunter,4.0,2015-03-16,Cotblm,31.48088171457681,-110.1185904409986,2.0,14.698958333333332,1.0,0
Hunter,4.0,2015-03-17,Cotblm,31.48088171457681,-110.1185904409986,2.0,14.679791666666667,1.0,0
Hunter,4.0,2015-03-18,Cotblm,31.48088171457681,-110.1185904409986,2.0,14.668125000000002,1.0,0
Hunter,4.0,2015-03-19,Cotblm,31.48088171457681,-110.1185904409986,2.0,14.651458333333332,1.0,0
Hunter,4.0,2015-03-20,Cotblm,31.48088171457681,-110.1185904409986,2.0,14.6825,1.0,0
Hunter,4.0,2015-03-21,Cotblm,31.48088171457681,-110.1185904409986,2.0,14.692708333333334,1.0,0
Hunter,4.0,2015-03-22,Cotblm,31.48088171457681,-110.1185904409986,2.0,14.707708333333334,1.0,0
Hunter,4.0,2015-03-23,Cotblm,31.48088171457681,-110.1185904409986,2.0,14.701875,1.0,0
Hunter,4.0,2015-03-24,Cotblm,31.48088171457681,-110.1185904409986,2.0,14.672083333333333,1.0,0
Hunter,4.0,2015-03-25,Cotblm,31.48088171457681,-110.1185904409986,2.0,14.694791666666667,1.0,0
Hunter,4.0,2015-03-26,Cotblm,31.48088171457681,-110.1185904409986,2.0,14.733125000000001,1.0,0
Hunter,4.0,2015-03-27,Cotblm,31.48088171457681,-110.1185904409986,2.0,14.772708333333334,1.0,0
Hunter,4.0,2015-03-28,Cotblm,31.48088171457681,-110.1185904409986,2.0,14.731875,1.0,0
Hunter,4.0,2015-03-29,Cotblm,31.48088171457681,-110.1185904409986,2.0,14.695208333333333,1.0,0
Hunter,4.0,2015-03-30,Cotblm,31.48088171457681,-110.1185904409986,2.0,14.663541666666667,1.0,0
Hunter,4.0,2015-03-31,Cotblm,31.48088171457681,-110.1185904409986,2.0,14.654166666666667,1.0,0
Hunter,4.0,2015-04-01,Cotblm,31.48088171457681,-110.1185904409986,2.0,14.65125,1.0,0
Hunter,4.0,2015-04-02,Cotblm,31.48088171457681,-110.1185904409986,2.0,14.640208333333334,1.0,0
Hunter,4.0,2015-04-03,Cotblm,31.48088171457681,-110.1185904409986,2.0,14.670625000000001,1.0,0
Hunter,4.0,2015-04-04,Cotblm,31.48088171457681,-110.1185904409986,2.0,14.706041666666666,1.0,0
Hunter,4.0,2015-04-05,Cotblm,31.48088171457681,-110.1185904409986,2.0,14.689166666666667,1.0,0
Hunter,4.0,2015-04-06,Cotblm,31.48088171457681,-110.1185904409986,2.0,14.748750000000001,1.0,0
Hunter,4.0,2015-04-07,Cotblm,31.48088171457681,-110.1185904409986,2.0,14.757083333333334,1.0,0
Hunter,4.0,2015-04-08,Cotblm,31.48088171457681,-110.1185904409986,2.0,14.740833333333335,1.0,0
Hunter,4.0,2015-04-09,Cotblm,31.48088171457681,-110.1185904409986,2.0,14.75,1.0,0
Hunter,4.0,2015-04-10,Cotblm,31.48088171457681,-110.1185904409986,2.0,14.749375,1.0,0
Hunter,4.0,2015-04-11,Cotblm,31.48088171457681,-110.1185904409986,2.0,14.742916666666666,1.0,0
Hunter,4.0,2015-04-12,Cotblm,31.48088171457681,-110.1185904409986,2.0,14.702083333333334,1.0,0
Hunter,4.0,2015-04-13,Cotblm,31.48088171457681,-110.1185904409986,2.0,14.678958333333334,1.0,0
Hunter,4.0,2015-04-14,Cotblm,31.48088171457681,-110.1185904409986,2.0,14.706249999999999,1.0,0
Hunter,4.0,2015-04-15,Cotblm,31.48088171457681,-110.1185904409986,2.0,14.645000000000001,1.0,0
Hunter,4.0,2015-04-16,Cotblm,31.48088171457681,-110.1185904409986,2.0,14.639583333333334,1.0,0
Hunter,4.0,2015-04-17,Cotblm,31.48088171457681,-110.1185904409986,2.0,14.693958333333333,1.0,0
Hunter,4.0,2015-04-18,Cotblm,31.48088171457681,-110.1185904409986,2.0,14.675624999999998,1.0,0
Hunter,4.0,2015-04-19,Cotblm,31.48088171457681,-110.1185904409986,2.0,14.659166666666666,1.0,0
Hunter,4.0,2015-04-20,Cotblm,31.48088171457681,-110.1185904409986,2.0,14.642708333333333,1.0,0
Hunter,4.0,2015-04-21,Cotblm,31.48088171457681,-110.1185904409986,2.0,14.674375,1.0,0
Hunter,4.0,2015-04-22,Cotblm,31.48088171457681,-110.1185904409986,2.0,14.698749999999999,1.0,0
Hunter,4.0,2015-04-23,Cotblm,31.48088171457681,-110.1185904409986,2.0,14.703958333333333,1.0,0
Hunter,4.0,2015-04-24,Cotblm,31.48088171457681,-110.1185904409986,2.0,14.715833333333334,1.0,0
Hunter,4.0,2015-04-25,Cotblm,31.48088171457681,-110.1185904409986,2.0,14.770416666666668,1.0,0
Hunter,4.0,2015-04-26,Cotblm,31.48088171457681,-110.1185904409986,2.0,14.756875,1.0,0
Hunter,4.0,2015-04-27,Cotblm,31.48088171457681,-110.1185904409986,2.0,14.760833333333332,1.0,0
Hunter,4.0,2015-04-28,Cotblm,31.48088171457681,-110.1185904409986,2.0,14.814375,1.0,0
Hunter,4.0,2015-04-29,Cotblm,31.48088171457681,-110.1185904409986,2.0,14.832291666666668,1.0,0
Hunter,4.0,2015-04-30,Cotblm,31.48088171457681,-110.1185904409986,2.0,14.81,1.0,0
Hunter,4.0,2015-05-01,Cotblm,31.48088171457681,-110.1185904409986,2.0,14.825625,1.0,0
Hunter,4.0,2015-05-02,Cotblm,31.48088171457681,-110.1185904409986,2.0,14.853124999999999,1.0,0
Hunter,4.0,2015-05-03,Cotblm,31.48088171457681,-110.1185904409986,2.0,14.869791666666666,1.0,0
Hunter,4.0,2015-05-04,Cotblm,31.48088171457681,-110.1185904409986,2.0,14.893541666666666,1.0,0
Hunter,4.0,2015-05-05,Cotblm,31.48088171457681,-110.1185904409986,2.0,14.9125,1.0,0
Hunter,4.0,2015-05-06,Cotblm,31.48088171457681,-110.1185904409986,2.0,14.913541666666667,1.0,0
Hunter,4.0,2015-05-07,Cotblm,31.48088171457681,-110.1185904409986,2.0,14.9425,1.0,0
Hunter,4.0,2015-05-08,Cotblm,31.48088171457681,-110.1185904409986,2.0,14.919791666666667,1.0,0
Hunter,4.0,2015-05-09,Cotblm,31.48088171457681,-110.1185904409986,2.0,15.011458333333332,1.0,0
Hunter,4.0,2015-05-10,Cotblm,31.48088171457681,-110.1185904409986,2.0,15.020833333333334,1.0,0
Hunter,4.0,2015-05-11,Cotblm,31.48088171457681,-110.1185904409986,2.0,15.027916666666668,1.0,0
Hunter,4.0,2015-05-12,Cotblm,31.48088171457681,-110.1185904409986,2.0,15.058541666666668,1.0,0
Hunter,4.0,2015-05-13,Cotblm,31.48088171457681,-110.1185904409986,2.0,15.07125,1.0,0
Hunter,4.0,2015-05-14,Cotblm,31.48088171457681,-110.1185904409986,2.0,15.083333333333334,1.0,0
Hunter,4.0,2015-05-15,Cotblm,31.48088171457681,-110.1185904409986,2.0,15.079375,1.0,0
Hunter,4.0,2015-05-16,Cotblm,31.48088171457681,-110.1185904409986,2.0,15.119375,1.0,0
Hunter,4.0,2015-05-17,Cotblm,31.48088171457681,-110.1185904409986,2.0,15.189375,1.0,0
Hunter,4.0,2015-05-18,Cotblm,31.48088171457681,-110.1185904409986,2.0,15.213958333333332,1.0,0
Hunter,4.0,2015-05-19,Cotblm,31.48088171457681,-110.1185904409986,2.0,15.288125,1.0,0
