site_no,datetime,height_abv_lowest_ft,dec_lat_va,dec_long_va,dist_to_stream_km
312642110063701,2020-01-08,2.9899999999997817,31.44523056,-110.1109222,0.25415545289574876
312642110063701,2020-04-07,2.8400000000001455,31.44523056,-110.1109222,0.25415545289574876
312642110063701,2020-06-24,1.8299999999999272,31.44523056,-110.1109222,0.25415545289574876
312642110063701,2020-10-06,1.300000000000182,31.44523056,-110.1109222,0.25415545289574876
312642110063701,2021-02-10,2.5,31.44523056,-110.1109222,0.25415545289574876
312642110063701,2021-04-07,2.519999999999527,31.44523056,-110.1109222,0.25415545289574876
312642110063701,2021-06-29,1.389999999999418,31.44523056,-110.1109222,0.25415545289574876
312642110063701,2021-10-19,3.1700000000000728,31.44523056,-110.1109222,0.25415545289574876
312642110063701,2022-02-01,3.6899999999996,31.44523056,-110.1109222,0.25415545289574876
312642110063701,2022-04-05,3.6099999999996726,31.44523056,-110.1109222,0.25415545289574876
312642110063701,2022-06-28,2.869999999999891,31.44523056,-110.1109222,0.25415545289574876
312642110063701,2022-10-19,4.880000000000109,31.44523056,-110.1109222,0.25415545289574876
312642110063701,2023-01-25,5.069999999999709,31.44523056,-110.1109222,0.25415545289574876
312642110063701,2023-04-18,4.920000000000073,31.44523056,-110.1109222,0.25415545289574876
312642110063701,2023-06-27,3.5999999999994543,31.44523056,-110.1109222,0.25415545289574876
312642110063701,2023-11-02,2.550000000000182,31.44523056,-110.1109222,0.25415545289574876
312642110063701,2024-02-14,4.760000000000218,31.44523056,-110.1109222,0.25415545289574876
312642110063701,2024-04-18,4.829999999999927,31.44523056,-110.1109222,0.25415545289574876
312642110063701,2024-06-25,2.630000000000109,31.44523056,-110.1109222,0.25415545289574876
312642110063701,2024-10-29,2.630000000000109,31.44523056,-110.1109222,0.25415545289574876
312642110063701,2025-02-26,4.849999999999454,31.44523056,-110.1109222,0.25415545289574876
312642110063701,2025-05-08,4.630000000000109,31.44523056,-110.1109222,0.25415545289574876
312642110063701,2025-07-02,2.7399999999997817,31.44523056,-110.1109222,0.25415545289574876
312642110063701,2002-06-07,0.3599999999996726,31.44523056,-110.1109222,0.25415545289574876
312642110063701,2004-04-15,0.8299999999999272,31.44523056,-110.1109222,0.25415545289574876
312642110063702,2001-08-10,0.8100000000004002,31.4451861,-110.1109278,0.25304036373839894
312642110063702,2001-10-25,0.5500000000001819,31.4451861,-110.1109278,0.25304036373839894
312642110063702,2001-12-20,0.8700000000008004,31.4451861,-110.1109278,0.25304036373839894
312642110063702,2002-06-07,0.4600000000000364,31.4451861,-110.1109278,0.25304036373839894
312642110063702,2002-10-31,0.27000000000043656,31.4451861,-110.1109278,0.25304036373839894
312642110063702,2003-03-13,0.930000000000291,31.4451861,-110.1109278,0.25304036373839894
312642110063702,2003-04-17,0.8700000000008004,31.4451861,-110.1109278,0.25304036373839894
312642110063702,2003-12-30,0.6000000000003638,31.4451861,-110.1109278,0.25304036373839894
312642110063702,2005-03-14,1.0800000000008367,31.4451861,-110.1109278,0.25304036373839894
