site,camera,date,prcp,vpd,tmax,tmin,dtgw,et,fp,is_test_mask,fp_pred,fp_final,source
St.David,1.0754327901249365,2020-02-18,-0.2734546534706098,-0.28849748013533993,-0.461195320543525,-0.9856117171457203,-0.42736618231999,-0.22858924100329797,1.0,True,,1,observed
St.David,1.0754327901249365,2020-02-19,-0.2734546534706098,-0.3162791206989224,-0.48383429389104887,-0.6901548327943228,-0.42736618231999,-0.341284018388171,1.0,False,,1,observed
St.David,1.0754327901249365,2020-02-20,-0.2734546534706098,-0.15836712530677713,-0.31470784594190165,-0.8418759355693647,-0.42736618231999,-0.35424466735301446,1.0,False,,1,observed
St.David,1.0754327901249365,2020-02-21,1.0607808895956952,-1.0717607374894216,-1.192300989237083,-0.5756985622798174,-0.42736618231999,-0.387533374375539,1.0,False,,1,observed
St.David,1.0754327901249365,2020-02-22,0.8604914893663423,-1.4127985156650522,-1.489271051384011,-0.4106685908402981,-0.42736618231999,-0.21734984919318537,1.0,True,,1,observed
St.David,1.0754327901249365,2020-02-23,-0.2734546534706098,-1.0819193576829156,-1.3214763077494238,-0.6382502450028611,-0.42736618231999,0.13856683321475172,1.0,False,,1,observed
St.David,1.0754327901249365,2020-02-24,-0.2734546534706098,-0.8360758125911394,-1.1390328166546744,-1.1918991814451196,-0.42736618231999,-0.03629147948773972,1.0,True,,1,observed
St.David,1.0754327901249365,2020-02-25,-0.2734546534706098,-1.1225159705939454,-1.5478660412246605,-1.0867591189957482,-0.42736618231999,-0.21354145255824641,1.0,False,,1,observed
St.David,1.0754327901249365,2020-02-26,-0.2734546534706098,-1.1220200606882555,-1.66771942953508,-1.5765254858485154,-0.42736618231999,-0.3264640773452108,1.0,False,,1,observed
St.David,1.0754327901249365,2020-02-27,-0.2734546534706098,-0.6301118598431956,-0.888672405517354,-1.6683566796334093,-0.42736618231999,-0.35899406351616586,1.0,True,,1,observed
St.David,1.0754327901249365,2020-02-28,-0.2734546534706098,-0.3947349572952635,-0.5584097355064207,-1.1679432178490603,-0.42736618231999,-0.45233412654077243,1.0,False,,1,observed
St.David,1.0754327901249365,2020-02-29,-0.2734546534706098,-0.34967610599409615,-0.49182451977841,-0.8751481072305581,-0.42736618231999,-0.44564650997032584,1.0,False,,1,observed
St.David,1.0754327901249365,2020-03-01,-0.2734546534706098,-0.8117276104777112,-1.0098574981423336,-0.5943309784100858,-0.42736618231999,-0.4181088000737931,1.0,False,,1,observed
St.David,1.0754327901249365,2020-03-02,0.385959679592183,-0.9297750221395612,-1.1257157735090724,-1.0761120240641664,-0.42736618231999,-0.48058577750698156,1.0,False,,1,observed
St.David,1.0754327901249365,2020-03-03,1.1316525235230046,-1.483115357387141,-1.7889045221600592,-0.7500447417844709,-0.42736618231999,-0.18175986176706657,1.0,False,,1,observed
